timestamp,fitted,lower_bound,upper_bound
2020-08,5413983.908333331,4395485.721642994,6470191.808746384
2020-09,5300835.834642873,4276916.01912915,6370393.735844958
2020-10,5170650.249746884,4202935.274913239,6221585.49864651
2020-11,5154167.471341186,4203463.750106176,6223839.1198365735
2020-12,5513180.286880388,4632952.11524453,6712526.133557013
2021-01,5478997.7215516325,4448868.318916579,6568633.858743995
2021-02,5407209.206484704,4400769.9286703495,6546729.588320155
2021-03,5422021.587613169,4363146.373487991,6485171.349715216
2021-04,5776162.603042679,4785125.553594882,6894774.558507494
2021-05,5627916.584592088,4726949.821607809,6762754.570199789
2021-06,5568640.374575317,4674456.223095767,6719361.3157748
2021-07,5622427.360376953,4687131.2283967845,6750786.532624132
2021-08,5954860.766949414,4923551.928603024,7115477.7659392115
2021-09,5848351.996620784,4881997.323702155,6968274.587276536
2021-10,5777591.954288448,4782871.426116901,6972092.452916149
2021-11,5788424.886541654,4739509.000052189,6978145.542372014
2021-12,6186783.522937704,5214271.009592009,7366197.428499538
2022-01,6195945.425520863,4947497.078773641,7225682.432643492
2022-02,6165269.716190263,4881392.399813242,7223780.517480652
2022-03,6200803.19051316,4912366.268191462,7166065.298877886
2022-04,6553982.031441541,5263430.734853085,7612347.626969532
2022-05,6418976.9197500395,5118561.378930582,7579933.6911291145
2022-06,6433295.460456283,5068716.314196898,7542068.501094879
2022-07,6403766.99176153,5015974.346049065,7560064.557744807
2022-08,6736714.013916574,5335182.831365915,7713558.557798519
2022-09,6646646.331130283,5320544.098520962,7782741.288116865
