timestamp,fitted,lower_bound,upper_bound
2020-08,5201845.844094918,5093411.231945385,5309544.277873036
2020-09,4927298.4384371415,4825749.293963111,5028427.796221803
2020-10,5381769.25849418,5268070.878442095,5482281.894223823
2020-11,5630044.589632787,5523241.580120029,5737591.7882495085
2020-12,5646701.829187473,5551779.514833044,5759593.002190591
2021-01,5332349.784940369,5224794.216356978,5432866.96602068
2021-02,4947200.077913666,4852120.996226135,5058131.853483801
2021-03,5440308.713645097,5342313.885842725,5540581.921748111
2021-04,8030721.576426058,7908730.5156388,8136717.6018647095
2021-05,3248532.742854329,3148643.642332781,3358464.6853851904
2021-06,5875016.972452155,5765317.768326604,5988925.816628433
2021-07,5910144.812739973,5800596.260971267,6002831.635247992
2021-08,6274745.947643814,6163522.827548606,6385270.736446039
2021-09,5877114.391698718,5773454.766099328,5988999.703658333
2021-10,6485558.0757429125,6377411.353104194,6591752.510779604
2021-11,6663424.921323194,6551625.441523444,6778079.470316349
2021-12,6827459.808009498,6709111.318306768,6932680.874364372
2022-01,6313412.722540449,6209584.74943315,6419301.479446825
2022-02,5700688.981882828,5593535.292144038,5816566.066625379
2022-03,6452988.188320601,6341931.566443668,6569728.064445823
2022-04,9911808.367356297,9810925.069504004,10007170.969813408
2022-05,2924922.371759679,2815355.9833857375,3036956.9244637317
2022-06,6821105.4574303,6714287.964751871,6941863.702919958
2022-07,6678952.456680109,6574367.674911559,6794828.112071507
2022-08,7149961.766784728,7041232.889866917,7254747.168656662
2022-09,6527988.272496319,6415644.718778422,6639576.826385696
