Merchant Name,Aug 20,Sep 20,Okt 20,Nov 20,Dez 20,Jan 21,Feb 21,Mär 21,Apr 21,Mai 21,Jun 21,Jul 21,Aug 21,Sep 21,Okt 21,Nov 21,Dez 21,Jan 22,Feb 22,Mär 22,Apr 22,Mai 22,Jun 22,Jul 22,Aug 22,Sep 22
Merchant 1,354256,336025,349629,404327,423084,378614,429278,405746,421662,490280,478399,469608,499533,458291,490541,517831,547649,595122,519923,543182,524377,583586,536100,528762,567394,567960
Merchant 2,17,20,11,17,3,68,0,20,155,26,37,13,31,22,15,22,9,101,52,44,367,73,91,61,85,68
Merchant 3,0,0,0,0,42,2,3,3,0,13,42,0,0,0,0,0,42,0,0,0,0,0,41,0,0,0
Merchant 4,135,142,131,129,136,126,124,129,144,127,130,133,127,148,141,127,148,135,153,137,155,146,168,155,192,157
Merchant 5,59,22,51,53,68,48,63,62,72,81,85,90,81,81,88,111,112,124,109,107,111,135,127,136,130,142
Merchant 6,3186,3225,3203,3238,3190,3267,2714,2853,2931,3003,2988,3066,3066,3203,3216,3069,3020,3143,3225,3249,3428,3393,3378,3476,3502,3526
Merchant 7,153,153,147,146,131,140,127,140,161,148,155,153,181,165,162,157,181,162,153,153,172,172,165,166,192,164
Merchant 8,7620,1373,12767,12698,1580,15260,5542,6000,14533,14193,1571,11792,11714,1517,12734,9106,9588,19769,3181,4470,18484,13628,1794,8555,18415,2828
Merchant 9,113,63,615,51,77,211,147,101,122,236,80,91,320,0,0,0,0,0,33,7,2,3,17,0,20,27
Merchant 10,335,233,215,545,215,192,290,203,181,449,187,179,266,187,166,469,175,168,255,170,159,401,166,161,262,192
Merchant 11,1931,2160,2743,2258,1955,3308,2038,2414,2955,2434,2110,3519,214,4602,3323,2630,2306,3833,90,5034,3401,2898,2421,704,5915,2874
Merchant 12,5,543,11,7,7,579,9,11,17,572,6,11,5,589,15,5,11,610,5,9,18,597,9,11,7,612
Merchant 13,13909,14053,14236,14539,14877,15321,15779,16236,16691,17156,17454,17714,18093,18374,18785,19387,19762,20379,21051,21377,22209,23000,23801,24293,24780,25309
Merchant 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 15,150,257,240,325,296,410,325,386,327,318,282,355,220,231,283,397,382,336,277,306,247,296,305,239,307,222
Merchant 16,770,749,656,742,590,11355,761,1031,966,987,1081,722,782,892,725,756,700,13567,815,977,948,1166,1113,935,870,926
Merchant 17,731,678,623,782,850,600,821,781,711,856,834,761,939,776,791,961,111,1586,1190,1027,804,1151,1014,965,1182,935
